model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesMSE,-5.4149408615126635,-15.956719736133728,root_mean_squared_error,0.05098104476928711,0.0435481071472168,0.28953123092651367,0.05098104476928711,0.0435481071472168,0.28953123092651367,1,True,2
RandomForestMSE,-5.446074186462437,-15.946576691044957,root_mean_squared_error,0.04728531837463379,0.04413747787475586,0.3216216564178467,0.04728531837463379,0.04413747787475586,0.3216216564178467,1,True,1
WeightedEnsemble_L2,-5.446074186462437,-15.946576691044957,root_mean_squared_error,0.048889875411987305,0.04440474510192871,0.32596349716186523,0.0016045570373535156,0.00026726722717285156,0.004341840744018555,2,True,3
