set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2025_bowman_draft,2025,Bowman,Draft,charles davalan,Charles Davalan,4,7,Base Set|Base Set - Chrome|Base Set - Etched In Glass Variations|Bowman Chrome Prospects - College Variations|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink|Draft Prospect Portrait Autographs,2,Arkansas|Los Angeles Dodgers
2025_bowman_draft,2025,Bowman,Draft,charlie condon,Charlie Condon,7,7,Achromatic Autographs|Base Set|Base Set - Chrome|Bowman In Action|Bowman In Action Autographs|Final Draft|Prized Prospects,1,Colorado Rockies
2025_bowman_draft,2025,Bowman,Draft,chase shores,Chase Shores,4,5,Base Set|Base Set - Chrome|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink|Draft Prospect Portrait Autographs,1,Los Angeles Angels
2025_bowman_draft,2025,Bowman,Draft,ching-hsien ko,Ching-Hsien Ko,2,2,Base Set|Base Set - Chrome,1,Los Angeles Dodgers
2025_bowman_draft,2025,Bowman,Draft,christian foutch,Christian Foutch,2,2,Base Set|Base Set - Chrome,1,Boston Red Sox
2025_bowman_draft,2025,Bowman,Draft,cj gray,CJ Gray,2,2,Base Set|Base Set - Chrome,1,Los Angeles Angels
2025_bowman_draft,2025,Bowman,Draft,cody bowker,Cody Bowker,2,2,Base Set|Base Set - Chrome,1,Philadelphia Phillies
2025_bowman_draft,2025,Bowman,Draft,cody miller,Cody Miller,3,4,Base Set|Base Set - Chrome|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink,1,Atlanta Braves
2025_bowman_draft,2025,Bowman,Draft,colin yeaman,Colin Yeaman,3,3,Base Set|Base Set - Chrome|Chrome Prospect Autographs,1,Baltimore Orioles
2025_bowman_draft,2025,Bowman,Draft,conor essenburg,Conor Essenburg,3,3,Base Set|Base Set - Chrome|Chrome Prospect Autographs,1,Atlanta Braves
2025_bowman_draft,2025,Bowman,Draft,cooper flemming,Cooper Flemming,3,4,Base Set|Base Set - Chrome|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink,1,Tampa Bay Rays
2025_bowman_draft,2025,Bowman,Draft,cooper pratt,Cooper Pratt,2,2,Base Set|Base Set - Chrome,1,Milwaukee Brewers
2025_bowman_draft,2025,Bowman,Draft,dakota jordan,Dakota Jordan,2,2,Base Set|Base Set - Chrome,1,San Francisco Giants
2025_bowman_draft,2025,Bowman,Draft,dante nori,Dante Nori,2,2,Base Set|Base Set - Chrome,1,Philadelphia Phillies
2025_bowman_draft,2025,Bowman,Draft,dax kilby,Dax Kilby,6,7,Base Set|Base Set - Chrome|Bowman In Action|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink|Draft Prospect Portrait Autographs|Prized Prospects,1,New York Yankees
2025_bowman_draft,2025,Bowman,Draft,dean curley,Dean Curley,4,6,Base Set|Base Set - Chrome|Bowman Chrome Prospects - College Variations|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink|Draft Prospect Portrait Autographs,2,Cleveland Guardians|Tennessee
2025_bowman_draft,2025,Bowman,Draft,dean livingston,Dean Livingston,3,3,Base Set|Base Set - Chrome|Chrome Prospect Autographs,1,Arizona Diamondbacks
2025_bowman_draft,2025,Bowman,Draft,dean moss,Dean Moss,3,3,Base Set|Base Set - Chrome|Chrome Prospect Autographs,1,Tampa Bay Rays
2025_bowman_draft,2025,Bowman,Draft,devin taylor,Devin Taylor,4,5,Base Set|Base Set - Chrome|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink|Draft Prospect Portrait Autographs,1,Athletics
2025_bowman_draft,2025,Bowman,Draft,dominic fritton,Dominic Fritton,2,2,Base Set|Base Set - Chrome,1,Tampa Bay Rays
2025_bowman_draft,2025,Bowman,Draft,dominick reid,Dominick Reid,2,2,Base Set|Base Set - Chrome,1,Chicago Cubs
2025_bowman_draft,2025,Bowman,Draft,easton carmichael,Easton Carmichael,3,4,Base Set|Base Set - Chrome|Chrome Prospect Autographs|Chrome Prospect Autographs - Gold Ink,1,Pittsburgh Pirates
2025_bowman_draft,2025,Bowman,Draft,eduardo quintero,Eduardo Quintero,4,4,Achromatic Autographs|Base Set|Base Set - Chrome|Bowman In Action,1,Los Angeles Dodgers
2025_bowman_draft,2025,Bowman,Draft,eduardo tait,Eduardo Tait,2,2,Base Set|Base Set - Chrome,1,Minnesota Twins
