player,price,card_type,title
,1,Bowman Axis · Base,PROSPECTS INSERT SP U PICK COMPLETE YOUR SET AXIS NIGHT PRIZED
,1,Bowman Axis · Base,PROSPECTS INSERT SP U PICK COMPLETE YOUR SET AXIS NIGHT PRIZED
,1,Bowman Axis · Base,PROSPECTS INSERT SP U PICK COMPLETE YOUR SET AXIS NIGHT PRIZED
,1,Bowman Axis · Base,PROSPECTS INSERT SP U PICK COMPLETE YOUR SET AXIS NIGHT PRIZED
,1,Bowman Axis · Base,PROSPECTS INSERT SP U PICK COMPLETE YOUR SET AXIS NIGHT PRIZED
,1,Pick / set builder,RC Rookie Rookies Pick Your Player Card
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
,1,Pick / set builder,PROSPECTS AND 1ST BOWMAN CHROME - YOU PICK
