player_name,wins,losses,win_rate,avg_win_margin,played
Dalton Rushing,2953,2671,0.525071,11.9655,5747
Blake Treinen,1500,1375,0.521739,8.6325,2954
Austin Kitchen,1619,1488,0.521081,2.5895,3132
James Meeker,1444,1331,0.52036,4.4828,2814
Chandler Simpson,2923,2713,0.51863,23.0196,5755
Edgar Quero,2819,2619,0.518389,13.221,5549
Eric Orze,1651,1542,0.517069,8.7278,3227
Bryan King,1450,1356,0.51675,1.8007,2867
Josh Naylor,1972,1857,0.515017,4.2594,3922
Jeff Criswell,1399,1319,0.514717,2.1342,2780
Evan Sisk,1558,1478,0.513175,4.1033,3084
Chase Petty,1592,1513,0.512721,26.3873,3145
Travis Jankowski,1336,1272,0.51227,6.7994,2649
Ryan Zeferjahn,1581,1516,0.510494,3.0594,3145
Kyle Higashioka,1504,1443,0.51035,2.5906,2977
Jose Trevino,1233,1186,0.509715,2.2302,2541
Craig Yoho,1536,1482,0.508946,7.5422,3081
JoJo Romero,1730,1672,0.508524,2.5479,3441
Max Lazar,1889,1827,0.508342,2.0281,3757
Colin Rea,1383,1340,0.507896,2.1682,2742
Mickey Gasper,1633,1583,0.507774,4.0873,3261
Francisco Lindor,2694,2616,0.507345,4.349,5414
Zac Veen,2710,2644,0.506164,9.2816,5418
Travis d'Arnaud,1662,1627,0.505321,3.2589,3382
Christian Koss,1356,1340,0.502967,5.7349,2732
Will Wilson,1471,1454,0.502906,18.3912,2987
Michel Otañez,793,785,0.502535,3.4979,1598
Kyle Hendricks,1655,1656,0.499849,2.8278,3371
Ryan Gusto,1670,1694,0.496433,4.3761,3471
Ji Hwan Bae,1556,1580,0.496173,3.5344,3213
Matt Gorski,1347,1371,0.495585,3.8819,2770
Ryan Walker,1415,1441,0.495448,3.5172,2915
Carlos Estévez,363,372,0.493878,1.0512,739
Johnathan Rodríguez,308,318,0.492013,0.7944,637
Rhett Lowder,1140,1178,0.491803,6.2244,2371
Michael McGreevy,1668,1725,0.4916,10.0947,3444
Kyle Hart,1303,1350,0.491142,1.3434,2710
Elvis Alvarado,1601,1660,0.490954,1.5461,3340
Alexander Canario,1628,1691,0.490509,2.0644,3354
Randy Rodríguez,396,412,0.490099,2.5782,866
Bailey Horn,1367,1426,0.489438,1.7358,2857
Hayden Birdsong,1574,1654,0.487608,21.5799,3253
Carlos Santana,1011,1064,0.487229,5.3234,2140
Devin Williams,1543,1625,0.487058,5.7641,3220
Wilmer Flores,1144,1211,0.485775,2.7442,2394
Maverick Handley,1516,1611,0.48481,5.5112,3162
Logan Allen,1128,1200,0.484536,1.5943,2389
Grant Koch,1555,1656,0.484273,11.1774,3273
Justin Sterner,1606,1733,0.480982,2.9833,3411
Andrés Giménez,850,923,0.479413,2.7038,1802
Jeff Hoffman,1413,1541,0.478334,4.2372,2991
Tyler Owens,1270,1388,0.477803,1.8058,2748
Bryan De La Cruz,1981,2167,0.47758,2.2479,4199
Tyler Callihan,1157,1268,0.477113,3.9592,2507
José Fermin,1286,1410,0.477003,3.6319,2737
Miles Mastrobuoni,1206,1343,0.473127,3.0931,2587
Victor MESA JR.,1120,1253,0.471976,3.7649,2416
Charlie Morton,1310,1468,0.471562,5.742,2832
Carson Kelly,1319,1483,0.470735,1.5884,2852
Matt Svanson,1006,1135,0.469874,7.5454,2184
Jon Berti,1505,1698,0.469872,4.5134,3248
Jake Burger,1417,1599,0.469828,6.1324,3080
Thomas Saggese,1324,1498,0.469171,3.0843,2897
Evan Kravetz,1376,1559,0.468825,2.1246,2998
