player_name,CT_list,all_in_price,seller,title
Levi Jordan,Gold 2025,4.95,ddobbswy,2025 Topps Update Levi Jordan Rookie Gold #/2025 Reds RC SP
Levi Jordan,Gold 2025,4.6,kandhsports,2025 Topps Update Levi Jordan RC GOLD Parallel 0666/2025 Cincinnati Reds #US6
Levi Jordan,Gold 2025,4.0,collectiblehobbycards,2025 Topps Update Series Levi Jordan RC #US6 Gold /2025 Cincinnati Reds RC
Levi Jordan,Gold 2025,3.99,417dlthome,2025 Topps Update Levi Jordan Rookie RC Gold #/2025 Reds #US6
Levi Jordan,Gold 2025,2.77,jamspulls,2025 Topps Update Levi Jordan RC GOLD BORDER /2025 Cincinnati Reds #US6
Manuel Margot,Purple Rainbow,4.99,brownie24,Manuel Margot 2025 Topps Update #US42 Purple Rainbow Foil /250 Detroit Tigers
Manuel Margot,Purple Rainbow,4.99,417dlthome,2025 Topps Update Manuel Margot Purple Foil #/250 Tigers #US42
Manuel Margot,Purple Rainbow,3.8,goutnout,2025 Topps Update Series Manuel Margot /250 Purple
Manuel Margot,Purple Rainbow,2.99,staja8733,2025 Topps Update Manuel Margot Purple Rainbow Foil 096/250 Detroit Tigers #US42
Manuel Margot,Purple Rainbow,2.89,custom_collectibles_of_louisiana,2025 Topps Update Manuel Margot Purple Rainbow Foil /250 #US42
Marc Church,Gold 2025,7.0,ronopus,"Marc Church 2025 Topps update RC's, US227 Gold SP0441/2025, Rainbow Foil"
Marc Church,Gold 2025,4.99,mcucinella,2025 Topps Update Marc Church GOLD RC Parallel #'d 1444/2025
Marc Church,Gold 2025,4.19,uknowwhoitis,Marc Church 2025 Topps Update Rookie Gold /2025 #US227
Marc Church,Gold 2025,3.99,p_cooley2009,2025 Topps Update #US227 Marc Church Gold #/2025
Marc Church,Gold 2025,3.5,obees_sportscards,2025 Topps Update Series - Marc Church #US227 Gold /2025 (RC)
Marc Church,Gold 2025,3.34,scottfreegg,2025 Topps Update #US227 Marc Church RC Gold Border /2025 - Rangers
Marc Church,Gold 2025,2.7,jts_fieldofcards,2025 Topps Update #US227 Marc Church (RC) ✨SP-GOLD /2025✨ Texas Rangers
Matt Gorski,Gold 2025,6.5,nerdysportsgirl24,2025 Topps Update Matt Gorski RC Gold 1635/2025 #US190 Pittsburgh Pirates
Matt Gorski,Gold 2025,4.5,gaalex8542,2025 TOPPS UPDATE BASEBALL GOLD 1596/2025 RC MATT GORSKI PIRATES #US190
Matt Gorski,Gold 2025,4.33,backninecardco,2025 Topps Update #US190 Matt Gorski Gold #/2025
Matt Gorski,Gold 2025,4.0,sjj2510,2025 Topps Update Series - Matt Gorski #US190 Gold /2025 (RC) Pirates Rookie
Matt Gorski,Gold 2025,3.99,mcucinella,2025 Topps Update Series Matt Gorski GOLD RC Parallel #'d 1254/2025
Matt Gorski,Gold 2025,3.99,417dlthome,2025 Topps Update Matt Gorski Rookie RC Gold #/2025 Pirates #US190
Matt Gorski,Gold 2025,3.83,rkchasingvb,2025 Topps Update #US190 Matt Gorski Gold #/2025
Matt Gorski,Gold 2025,3.43,skiandi02,Matt Gorski 2025 Topps Update Gold Rookie US190 Hoosiers Dodger Pirates /2025 RC
Matt Gorski,Gold 2025,3.4,2010duder777,2025 Topps Update #US190 Matt Gorski Gold 1946/2025
Matt Gorski,Gold 2025,3.14,mr.fun87,MATT GORSKI 2025 TOPPS UPDATE RC US190 GOLD BORDER/2025 PIRATES!
Matt Gorski,Gold 2025,2.0,mapoch_81,2025 Topps Update Series - Matt Gorski #US190 Gold /2025 (RC)
Maverick Handley,Blue Rainbow,5.99,417dlthome,2025 Topps Update Maverick Handley   Rookie RC Blue Foil #/150 Orioles #US274
Maverick Handley,Independence Day 76,19.99,417dlthome,2025 Topps Update Maverick Handley   Rookie RC Independence Day #/75 Orioles
Mickey Gasper,Base Rainbow,4.66,okiekatie,2025 Topps Update MICKEY GASPER RC Rookie #US291 Rainbow Foil Minnesota Twins
Mickey Gasper,Base Rainbow,4.49,att10,2025 Topps Update MICKEY GASPER RC Rookie #US291 Rainbow Foil Minnesota Twins
Mickey Gasper,Base Rainbow,3.0,mllrddck,2025 Topps Update Mickey Gasper “RC” #US291 Rainbow Foil Parallel
Mickey Gasper,Base Rainbow,2.98,wilbrownel0,2025 Topps Update #US291 Mickey Gasper Rainbow Foil
Mickey Gasper,Base Rainbow,2.97,010collectibles,2025 Topps Update Mickey Gasper Rookie Rainbow Foil
Mickey Gasper,Base Rainbow,2.25,garygunner,2025 Topps Update Rainbow Foil #US291 Mickey Gasper
Mickey Gasper,Base Rainbow,2.0,rainforrestcardshop,2025 Topps Update #US291 Mickey Gasper Rainbow Foil
Mickey Gasper,Base Rainbow,1.83,tommypgoods,2025 Topps Update Series - Rainbow Foil - Mickey Gasper (RC) #US291 (Twins)
Nick Kurtz,1990,39.45,mnsportscards22,2025 Topps Update Nick Kurtz 1990 Topps Rookie GMG Graded 10 Gem Mint 💎
Nick Kurtz,1990,39.45,mnsportscards22,2025 Topps Update Nick Kurtz 1990 Topps Rookie GMG Graded 10 Gem Mint 💎
Nick Kurtz,1990,3.99,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (B)
Nick Kurtz,1990,3.99,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (A)
Nick Kurtz,1990,3.99,kleffa-kards,2025 Topps Update Series - 1990 Topps Baseball Nick Kurtz #U90-17 (RC)
Nick Kurtz,1990,3.99,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (A)
Nick Kurtz,1990,3.99,kleffa-kards,2025 Topps Update Series - 1990 Topps Baseball Nick Kurtz #U90-17 (RC)
Nick Kurtz,1990,3.99,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (B)
Nick Kurtz,1990,3.35,whitesoxfan8907,Nick Kurtz Athletics RC 2025 Topps Update 1990 35th Anniversary Foil U90-17
Nick Kurtz,1990,3.35,whitesoxfan8907,Nick Kurtz Athletics RC 2025 Topps Update 1990 35th Anniversary Foil U90-17
Orlando Ribalta,Purple Rainbow,4.99,417dlthome,2025 Topps Update Orlando Ribalta Rookie RC Purple Foil #/250 Nationals #US203
Orlando Ribalta,Purple Rainbow,3.14,2ndtonone78,2025 Topps Update #US203 ORLANDO RIBALTA RC Purple Rainbow Foil /250
Parker Dunshee,Gold 2025,4.7,professorav8r,PARKER DUNSHEE RC 2025 Topps Update Gold #US296 #'d 1757/2025
Parker Dunshee,Gold 2025,4.48,bearsupplyco,2025 Topps Update Series Parker Dunshee #US296 Gold Border /2025 Braves
Parker Dunshee,Gold 2025,4.31,5handssportscards,Parker Dunshee 2025 Topps Update #US296 Rookie Gold /2025
Parker Dunshee,Gold 2025,4.31,ntxvintage,2025 Topps Update Series Parker Dunshee #US296 Gold /2025 Atlanta Braves RC
Parker Dunshee,Gold 2025,3.99,417dlthome,2025 Topps Update Parker Dunshee Rookie RC Gold #/2025 Braves  #US296
Parker Dunshee,Gold 2025,3.85,arrc-cards,Parker Dunshee RC /2025 Gold - 2025 Topps Update #US296 Atlanta Braves Rookie
Parker Dunshee,Gold 2025,2.99,joshunboxedcards,2025 Topps Update GOLD /2025 #US296 Parker Dunshee RC Atlanta Braves
Parker Dunshee,Gold 2025,2.99,pattal-3,2025 Topps Update Series - Parker Dunshee #US296 Gold /2025 (RC) Atlanta Braves
Parker Dunshee,Gold 2025,2.99,sirpacksalot,2025 Topps Update Series - Parker Dunshee (RC) Gold /2025 #US296
Parker Dunshee,Gold 2025,2.7,tradingcardexpress,2025 Topps Update Parker Dunshee RC Gold /2025 #US-296 Braves
Parker Dunshee,Gold 2025,1.94,csdym-30,2025 Topps Update Series - Parker Dunshee #US296 Gold 1464/2025 (RC) Braves
Patrick Monteverde,Green Foil,8.99,417dlthome,2025 Topps Update Patrick Monteverde Rookie RC Green Foil #/99 Marlins #US211
Patrick Monteverde,Green Foil,4.73,delli-steve,2025 Topps Update Green Holo Foil Patrick Monteverde RC US211 21/99 SP Marlins
Patrick Monteverde,Purple Rainbow,11.25,ipo-collect,2025 Topps Update Series - Patrick Monteverde - Purple Rainbow Foil #'d 161/250
Patrick Monteverde,Purple Rainbow,6.34,johnny_ford_cards,2025 Topps Update Purple Patrick Monteverde RC 098/250 #US211
Patrick Monteverde,Purple Rainbow,4.99,417dlthome,2025 Topps Update Patrick Monteverde Rookie RC Purple #/250 Marlins #US211
Paxton Schultz,Gold 2025,3.99,albatr_79,Paxton Schultz 2025 Topps Update RC Gold Foil #’d 0018/2025 Blue Jays
Paxton Schultz,Gold 2025,3.99,417dlthome,2025 Topps Update Paxton Schultz Rookie RC Gold #/2025 Blue Jays  #US350
Paxton Schultz,Gold 2025,3.74,thecord44,2025 Topps Update Series #US350 Paxton Schultz /2025 Gold Foil Blue Jays
Paxton Schultz,Gold 2025,3.5,1st_base_cards,2025 Topps Update #US350 Paxton Schultz RC Gold /2025 Toronto Blue Jays
Paxton Schultz,Gold 2025,3.49,chubbayboy,2025 Topps Update #US350 Paxton Schultz RC Gold /2025 Toronto Blue Jays
Paxton Schultz,Gold 2025,2.95,devs.cards,2025 Topps Update #US350 Paxton Schultz Gold #/2025
Raymond Burgos,Gold 2025,4.75,cubbie_1908,"2025 Topps Update Gold #/2025 US115 Raymond Burgos, San Francisco Giants RC"
Raymond Burgos,Gold 2025,4.31,mostarcollectibles,2025 Topps Update - Raymond Burgos Rookie #US115 (Gold Border Parallel /2025)
Raymond Burgos,Gold 2025,4.0,nerdysportsgirl24,2025 Topps Update Raymond Burgos RC Gold 0978/2025 #US115 San Francisco Giants
Raymond Burgos,Gold 2025,3.5,1st_base_cards,2025 Topps Update #US115 Raymond Burgos RC Gold /2025 San Francisco Giants
Raymond Burgos,Gold 2025,2.99,thereklinercardsandbreaks,2025 Topps Update Raymond Burgos Gold Paper /2025 Rookie Card #US115 SP Giants
Raymond Burgos,Gold 2025,2.5,turcscardsandmore,"2025 Topps Update Gold #/2025 US115 Raymond Burgos, San Francisco Giants RC"
Roki Sasaki,1990,56.0,alamocandc,2025 Topps Update Roki Sasaki RC 1990 Topps Patch Relic PLAYER WORN # 90RU-RS
Roki Sasaki,1990,24.94,7thinningstretch_ig,ROKI SASAKI 2025 TOPPS UPDATE 35th ANNIVERSARY RELIC RC #90RU-RS DODGERS 1990
Roki Sasaki,1990,23.0,tobri_4585,2025 Topps Update Roki Sasaki 35th Anniversary 1990 RC Relic
Roki Sasaki,1990,1.99,markitoscards,2025 Topps Update Series - 1990 Topps Baseball Roki Sasaki #U90-11 (RC)
Ronny Simon,Green Foil,6.99,417dlthome,2025 Topps Update Ronny Simon Rookie RC Green #/99 Pirates #US111
Sauryn Lao,Gold 2025,7.0,caughtupintheskycards,2025 Topps Update Sauryn Lao RC Gold #1715/2025 Mariners
Sauryn Lao,Gold 2025,5.5,stzy_5390,2025 Topps Update Series - Sauryn Lao #US265 Gold /2025 (RC)
Sauryn Lao,Gold 2025,3.99,417dlthome,2025 Topps Update Sauryn Lao Rookie RC Gold #/2025 Mariners #US265
Sauryn Lao,Gold 2025,3.23,runters_bullpen,2025 Topps Update US265 Sauryn Lao Mariners RC Gold /2025
Sauryn Lao,Gold 2025,1.69,mercertl,2025 Topps Update Gold #US265 Sauryn Lao /2025 Seattle Mariners 4512
Shane Smith,Diamante,1.78,peanutz.cardz,2025 Topps Update #US278 Shane Smith Diamante Foil BB6
Tanner Gordon,Blue Rainbow,6.45,millercardtrading,Tanner Gordon (RC) 2025 Topps Update Series Rookie Blue Holofoil 121/150 Rockies
Tanner Gordon,Blue Rainbow,5.99,417dlthome,2025 Topps Update Tanner Gordon Rookie RC Blue #/150 Rockies #US8
Tanner Gordon,Blue Rainbow,3.55,absolutesportscardsllc,2025 Topps Update Blue Foil Tanner Gordon Rookie 056/150 Colorado Rockies #US8
Thomas Harrington,Blue Rainbow,31.49,cd2169,2025 Topps Update Series - Thomas Harrington Baseball Stars  Blue Auto 12/150
Thomas Harrington,Blue Rainbow,11.19,leftyssc,2025 Topps Update Series - Thomas Harrington Baseball Stars  Blue Auto 12/150
Thomas Harrington,Blue Rainbow,7.99,jaken434,2025 Topps Update Series - Thomas Harrington #US273 Blue Holofoil /150 (RC)
Thomas Harrington,Blue Rainbow,5.99,417dlthome,2025 Topps Update Thomas Harrington Rookie RC Blue #/150 Pirates #US273
Tim Tawa,Base Rainbow,2.73,greg-9671,2025 Topps Update Tim Tawa RC Rainbow Foil US287 Diamondbacks
Tim Tawa,Base Rainbow,2.46,dw_2005,2025 Topps Update Series - Tim Tawa #US287 Rainbow Foil (RC)
Tim Tawa,Base Rainbow,2.0,homeofthecards,2025 Topps Update #US287 Tim Tawa Rainbow Foil
Tim Tawa,Base Rainbow,1.99,rjvec,2025 Topps Update Rainbow Foil #US287 Tim Tawa RC Arizona Diamondbacks
Trenton Brooks,Gold 2025,7.0,allpacks_nobreaks,2025 Topps Update Trenton Brooks  Rookie RC Gold #/2025 Padres #US78
Trenton Brooks,Gold 2025,3.99,417dlthome,2025 Topps Update Trenton Brooks  Rookie RC Gold #/2025 Padres #US78
Trenton Brooks,Gold 2025,3.74,thecord44,2025 Topps Update #US78 Trenton Brooks Gold /2025 RC Padres
Trenton Brooks,Gold 2025,3.73,hairyearscards,2025 Topps Update - TRENTON BROOKS (RC)  #US78 Gold Border 1721/2025
Trenton Brooks,Gold 2025,3.43,jkcsportscards,2025 Topps Update #US78 Trenton Brooks Gold #/2025
Trenton Brooks,Gold 2025,3.0,obees_sportscards,TRENTON BROOKS RC 2025 Topps Update Gold Parallel /2025 Padres #US78
Trenton Brooks,Gold 2025,3.0,ppgshader,2025 Topps Update Trenton Brooks Gold Parallel RC 1763/2025 Padres #US78
Trenton Brooks,Gold 2025,2.82,el574,2025 Topps Update Gold #US78 Trenton Brooks 0433/2025 San Diego Padres
Wilmer Flores,Purple Rainbow,6.98,kmsigns-com,Wilmer Flores 2025 Topps Update #US160 Purple Rainbow Foil 163/250
Wilmer Flores,Purple Rainbow,4.99,417dlthome,2025 Topps Update Wilmer Flores Purple Rainbow Foil #/250 Giants #US160
Wilmer Flores,Purple Rainbow,2.75,tomahawk_cards,2025 Topps Update Wilmer Flores Purple /250
Yaramil Hiraldo,Blue Rainbow,15.88,bucsco78_1,2025 Topps Update Yaramil Hiraldo Rookie RC Blue Foil # 34/150 Orioles #US210
Yaramil Hiraldo,Blue Rainbow,13.48,mrjcg11,2025 Topps Update Yaramil Hiraldo Rookie RC Blue Ray Wave /150 Orioles
Yaramil Hiraldo,Blue Rainbow,7.0,andki_23,2025 Topps Update-#US210 Yaramil Hiraldo (RC) Blue Holofoil /150
