title,all_in_price,CT_any,CT_list
2025 Topps Update Clayton Kershaw All Star Foil #ASG-50 Dodgers,3.99,False,
2025 Topps Update Matt Gorski Rookie RC Gold #/2025 Pirates #US190,3.99,True,Gold 2025
2025 Topps Update Bryan Sammons Rookie RC Gold #/2025 Tigers #US198,3.99,True,Gold 2025
2025 Topps Update Marc Church Rookie RC Gold #/2025 Rangers #US227,3.99,True,Gold 2025
2025 Topps Update Kevin Alcantara Debut Rookie RC Gold #/2025 Cubs #US128,3.99,True,Gold 2025
2025 Topps Update Zac Veen Debut Rookie RC Gold #/2025 Rockies #US2,3.99,True,Gold 2025
2025 Topps Update Gleyber Torres All Star Pink Foil #ASG-10 Tigers,3.99,False,
2025 Topps Update Rhylan Thomas Rookie RC Silver Foilboard #US196 Mariners,3.99,False,
2025 Topps Update Chandler Simpson Rookie RC Debut Topps Logo Foil #US349 Rays,3.99,False,
2025 Topps Update Cade Gibson Rookie RC Gold #/2025 Marlins #US131,3.99,True,Gold 2025
2025 Topps Update Tim Tawa Rookie RC Rainbow Foil #US287 Diamondbacks,3.99,True,Base Rainbow
2025 Topps Update Shane Smith Rookie RC Diamante Foil #US278 White Sox,3.99,True,Diamante
2025 Topps Update Tarik Skubal All Star Game #ASG-22 Tigers,2.99,False,
2025 Topps Update Nick Kurtz Rookie RC Debut US197 Athletics,2.99,False,
2025 Topps Update Cade Gibson Rookie RC Pink Holo Foil #US131 Marlins,2.99,False,
2025 Topps Update Agustin Ramirez Rookie RC Holiday Foil #US11 Marlins,2.99,False,
2025 Topps Update Spencer Schwellenbach Debut Rookie RC Holo Foil #US327 Braves,2.99,False,
2025 Topps Update Matt Svanson Rookie RC Holo Foil #US293 Cardinals,2.99,False,
2025 Topps Update Mickey Gasper Rookie RC Rainbow Foil #US291 Twins,2.99,True,Base Rainbow
2025 Topps Update Gage Workman Rookie RC Holo Foil #US118 Tigers,2.99,False,
2025 Topps Update Drake Baldwin Rookie RC 35th Anniversary Base #U90-32 Braves,2.99,False,
