seller_username,title,all_in_price,CT_list,player_guess
sallipipes314,2025 Topps Update Curtis Mead Gold #352/2025 US41 Tampa Bay,4.75,Gold 2025,Curtis Mead
mikeocardshop,2025 Topps Update Rainbow Foil Curtis Mead Tampa Bay Rays #326,2.25,Base Rainbow,Curtis Mead
markcards3,2025 Topps Update - Curtis Mead #US41 Sand glitter - Rays,2.0,Sandglitter,Curtis Mead
mcucinella,2025 Topps Update Series Curtis Mead GOLD Parallel #'d 0206/2025,2.99,Gold 2025,Curtis Mead
cgreen0305,2025 Topps Update Curtis Mead Sand Glitter Foil Rays,2.55,Sandglitter,Curtis Mead
brown,2025 Topps Update Blue Foil SP Curtis  Mead Tampa Bay Rays 057/150 US41,5.62,Blue Rainbow,Curtis Mead
clayscards86,2025 Topps Update Curtis Mead Rookie Sand Glitter #us41 Pink,2.75,Sandglitter,Curtis Mead
cookster57,Curtis Mead 2025 Topps Update Series Purple Foil /250 Tampa Bay Rays #US41,5.69,Purple Rainbow,Curtis Mead
pnw-406cardcollecting,Curtis Mead Blue Holo Foil /150 2025 Topps Update Series #US41 Tampa Bay Rays,2.99,Blue Rainbow,Curtis Mead
kosportsandcards,2025 Topps Update CURTIS MEAD Holiday JACK O LANTERN Parallel Rays #US41,4.25,Holiday Jackolantern,Curtis Mead
sliderbaseball,Curtis Mead /2025 GOLD PARALLEL 2025 Topps Update US41 Tampa Bay,3.99,Gold 2025,Curtis Mead
yrtrainisleaving,Curtis Mead 2025 Topps Update Series #US41 Gold /2025 Tampa Bay Rays,3.29,Gold 2025,Curtis Mead
ghosted-vault,2025 Topps Update Curtis Mead Orange And Black Foil Tampa Bay Rays #US41,2.75,Orange Black,Curtis Mead
bucs-21,2025 Topps Update #US41 Curtis Mead Gold #/2025,3.48,Gold 2025,Curtis Mead
2ndtonone78,2025 Topps Update #US41 CURTIS MEAD Gold /2025 BUY ANY 2 GET 1 FREE,2.82,Gold 2025,Curtis Mead
417dlthome,2025 Topps Update Curtis Mead  Green #/99 Rays #US41,9.99,Green Foil,Curtis Mead
bentleybadgerenterprises,2025 Topps Update - Pink Holofoil #US41 Curtis Mead,2.55,,Curtis Mead
junk_wax_junkie,2025 Topps Update - Pink Holo Foil #US41 Curtis Mead,2.0,,Curtis Mead
jagscollectables,2025 Topps Update #US41 Curtis Mead,1.93,,Curtis Mead
craigtradescards,2025 Topps Update - CURTIS MEAD Pink Diamante Foil  SP #US41,3.0,Diamante,Curtis Mead
ppgshader,2025 Topps Update Curtis Mead Holiday Foil Tampa Bay Rays #US41,2.25,,Curtis Mead
hideawaycards,Curtis Mead 2025 Topps Update Series #US41 Orange Foil /25,35.94,Orange 25,Curtis Mead
nickspicks04,2025 Topps Update Series - Curtis Mead - SSP True Photo Variation,30.25,"Photo Variation, SSP",Curtis Mead
montananj1,2025 Topps Update Curtis Mead Purple Foil #072/250 Tampa Bay Rays #US41 Rays,2.79,Purple Rainbow,Curtis Mead
comc_consignment,2025 Topps Update Gold Rainbow Foil 27/50 Curtis Mead #US41 ki6,7.79,Gold 50,Curtis Mead
kingcyrussportscards,2025 Topps Update Series - Curtis Mead #US41 Sandglitter BS12,1.5,Sandglitter,Curtis Mead
cyberjunkshop,2025 Topps Update Blue Foil SP Curtis  Mead Tampa Bay Rays 100/150 US41,4.99,Blue Rainbow,Curtis Mead
todd44todd,2025 Topps Update Curtis Mead Sand Glitter Foil Rays,3.13,Sandglitter,Curtis Mead
cubbie_1908,"2025 Topps Update US41 Curtis Mead, Tampa Bay Rays",2.5,,Curtis Mead
mg4202,2025 TOPPS UPDATE CURTIS MEAD 25/25 ORANGE FOIL NO. US41 RAYS (BOOKEND!),21.39,Orange 25,Curtis Mead
droneagemedia,2025 Topps Update Series - Curtis Mead #US41 Pink Diamante Foil,3.0,Diamante,Curtis Mead
garygunner,2025 Topps Update Purple Rainbow Foil #US41 Curtis Mead Serial #195/250,2.75,Purple Rainbow,Curtis Mead
creamcitysportscards_3,2025 Topps Update #US41 Curtis Mead Pink Diamante Foil Tampa Bay Rays,2.0,Diamante,Curtis Mead
montananj1,CURTIS MEAD 2025 TOPPS UPDATE SERIES PURPLE Sand Glitter  RAYS 072/250,2.89,"Purple Rainbow, Sandglitter",Curtis Mead
pinandcardpalace,2025 Topps Update #US41 Curtis Mead Gold #/2025,1.98,Gold 2025,Curtis Mead
quesocollectibles,2025 Topps Update Blue Foil Curtis Mead 88/150 Tampa Bay Rays,2.59,Blue Rainbow,Curtis Mead
nichoco-99,2025 Topps Update Baseball Curtis Mead Black Foil 10/10 Bookend Short Print SP,26.23,Black 10,Curtis Mead
2ndtonone78,2025 Topps Update #US41 CURTIS MEAD Blue Rainbow Foil /150 COLOR MATCH RAYS,3.33,Blue Rainbow,Curtis Mead
jemclau5287,2025 Topps Update - CURTIS MEAD Pink Diamante Foil  SP #US41,1.99,Diamante,Curtis Mead
ledsimpson,2025 Topps Update Rainbow Foil Curtis Mead US41 Tampa Bay Rays,1.49,Base Rainbow,Curtis Mead
josnic-9149,2025 Topps Update Curtis Mead Purple Foil /250 #US41 Rays,2.67,Purple Rainbow,Curtis Mead
jos-762161,2025 Topps Update Series - Curtis Mead #US41 Sandglitter,1.5,Sandglitter,Curtis Mead
j_a_b_o_tcg,2025 Topps Update Baseball Curtis Mead US41 Fanatics Exclusive Topps Foil,1.98,,Curtis Mead
ppgshader,2025 Topps Update Curtis Mead Purple Foil 27/250 Tampa Bay Rays #US41,2.75,Purple Rainbow,Curtis Mead
