display_order,pairwise_rank,rank_match,matched_key,card_type
143,26,exact,,Chrome · Black Printing Plate · Auto
144,87,exact,,Bowman Spotlight
145,24,exact,,Bowman Spotlight /5
146,58,exact,,Bowman Spotlight · Red /5
147,14,exact,,Crystallized · Black /73
148,22,exact,,Crystallized /25
149,52,exact,,Crystallized · Gold /50
150,39,exact,,Crystallized · Orange /25
151,34,exact,,Crystallized · Red /5
152,63,exact,,Crystallized
153,82,exact,,Etched in Glass
154,80,exact,,Final Draft
155,3,exact,,Final Draft · Red /5
156,33,exact,,Snack-Pack
